Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
INDUCTION OF PARTHENOCARPY IN Opuntia spp.,"Varela-Delgadillo, Oscar E.; Livera-Munoz, Manuel; Muratalla-Lua, Alfonso; Carrillo-Salazar, Jose A.",,,,REVISTA FITOTECNIA MEXICANA,JAN-MAR 2018,2018,41,1,,,,3,11,,,,,0,0,0,0,0,0,0,0
Functional dioecy in Gleditsia amorphoides (Fabaceae),"Carolina Cerino, Maria; Cesar Castro, Damian; Alicia Richard, Geraldina; de Lujan Exner, Eliana; Francisco Pensiero, Jose",,,,AUSTRALIAN JOURNAL OF BOTANY,2018,2018,66,1,,,,85,93,,10.1071/BT16185,,,0,0,0,0,0,0,0,0
Genetic diversity of Ziziphus lotus natural populations from Algeria based on fruit morphological markers,"Boussaid, Mohamed; Taibi, Khaled; Abderrahim, Leila Ait; Ennajah, Amel",,,,ARID LAND RESEARCH AND MANAGEMENT,2018,2018,32,2,,,,184,197,,10.1080/15324982.2018.1424742,,,0,0,0,0,0,0,0,0
Pollination and reproductive system of synchronopatric species of Cactaceae (Cactoideae) subject to interspecific flow of pollen: an example of ecological adaptation in the Brazilian Chaco,"Ferreira, B. H. S.; Gomes, A. C.; Souza, C. S.; Fabri, J. R.; Sigrist, M. R.",,,,PLANT BIOLOGY,JAN 2018,2018,20,1,,,,101,112,,10.1111/plb.12641,,,0,0,0,0,0,0,0,0
"Composition, use and bioactive properties of prickly pear (Opuntia ficus-indica L. Mill.) fruit and seeds","Ozcan, Mehmet Musa; Matthaeus, Bertrand",,,,ZEITSCHRIFT FUR ARZNEI- & GEWURZPFLANZEN,DEC 2017,2017,22,4,,,,177,180,,,,,0,0,0,0,0,0,0,0
"Synchronous fruiting and common seed dispersers of two endemic columnar cacti in the Caatinga, a dry forest in Brazil","Nobrega Gomes, Vanessa Gabrielle; Meiado, Marcos Vinicius; Maciel Quirino, Zelma Glebya; Pereira de Araujo, Helder Farias; Machado, Isabel Cristina",,,,PLANT ECOLOGY,DEC 2017,2017,218,11-12,,,,1325,1338,,10.1007/s11258-017-0771-5,,,0,0,0,0,0,0,0,0
Phytochemical composition and antioxidant activity of Tunisian cactus pear (Opuntia ficus indica L.) flower,"Ouerghemmi, Ines; Harbeoui, Hela; Wannes, Wissem Aidi; Rebey, Iness Bettaieb; Hammami, Majdi; Marzouk, Brahim; Tounsi, Moufida Saidani",,,,JOURNAL OF FOOD BIOCHEMISTRY,OCT 2017,2017,41,5,,,,,,e12390,10.1111/jfbc.12390,,,0,0,0,0,0,0,0,0
"Reproductive biology of Ferocactus recurvus (Mill.) Borg subsp recurvus (Cactaceae) in the Tehuacan-Cuicatlan Valley, Mexico","Cordova-Acosta, E.; Zavala-Hurtado, J. A.; Golubov, J.; Casas, A.",,,,PLANT BIOLOGY,SEP 2017,2017,19,5,,,,798,805,,10.1111/plb.12585,,,0,0,0,0,0,0,0,0
"Pollination biology of Agave horrida (Agavaceae) in the Chichinautzin mountain range, in Central Mexico","Flores-Torres, Arnoldo; Galindo-Escamilla, Andrea",,,,BOTANICAL SCIENCES,JUL-SEP 2017,2017,95,3,,,,423,431,,10.17129/botsci.1022,,,0,0,0,0,0,0,0,0
Reproductive ecology of the threatened  star cactus Astrophytum ornatum ( Cactaceae): a strategy of continuous reproduction with low success,"Loraine Matias-Palafox, Maria; Leonor Jimenez-Sierra, Cecilia; Golubov, Jordan; Mandujano, Maria C.",,,,BOTANICAL SCIENCES,APR-JUN 2017,2017,95,2,,,,245,258,,10.17129/botsci.780,,,0,0,0,0,0,0,0,0
"Sexual Propagation of the Tunisian Spinescent Opuntia ficus-indica (L.) Mill., Morphogenetic Deployment and Polymorphism","Stambouli-Essassi, Sondes; Zakraoui, Mariem; Bouzid, Sadok; Harzallah-Skhiri, Fethia",,,,NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,2017,2017,45,1,,,,50,58,,10.15835/nbha45110600,,,0,0,0,0,0,0,0,0
"DESCRIPTION OF THE FRUIT OF NOPALEA COCHENILLIFERA (L.) SALM-DYCK SOLD IN THE TRADITIONAL MARKET OF RIOVERDE, SAN LUIS POTOSI, MEXICO","Antonio Reyes-Aguero, Juan; Rogelio Aguirre-Rivera, Juan",,,,HASELTONIA,DEC 2016,2016,,22,,,,43,45,,,,,0,0,0,0,0,0,0,0
Diet and Pollinator Role of the Long-Snouted Bat Platalina genovensium in Lomas Ecosystem of Peru,"Maguina, Rossana; Amanzo, Jessica",,,,TROPICAL CONSERVATION SCIENCE,OCT-DEC 2016,2016,9,4,,,,,,,10.1177/1940082916674288,,,0,0,0,0,0,0,0,0
Occurrence and characterisation of calcium oxalate crystals in stems and fruits of Hylocereus costaricensis and Selenicereus megalanthus (Cactaceae: Hylocereeae),"Vinas, Maria; Jimenez, Victor M.",,,,MICRON,OCT 2016,2016,89,,,,,21,27,,10.1016/j.micron.2016.07.002,,,0,0,0,0,0,0,0,0
Nutritive and Anti-Nutritive Composition of Moroccan Opuntia ficus indica Cladodes and Fruits,"Toure, Hamadoun Abba; Bouatia, Mustapha; Alouani, Imane; Idrissi, Mohammed O. B.; Hmamouch, Mohammed, I; Draoui, Mustapha",,,,RESEARCH JOURNAL OF PHARMACEUTICAL BIOLOGICAL AND CHEMICAL SCIENCES,SEP-OCT 2016,2016,7,5,,,,1275,1281,,,,,0,0,0,0,0,0,0,0
Myiarchus flycatchers are the primary seed dispersers of Bursera longipes in a Mexican dry forest,"Carlos Almazan-Nunez, R.; Eguiarte, Luis E.; del Coro Arizmendi, Maria; Corcuera, Pablo",,,,PEERJ,JUN 15 2016,2016,4,,,,,,,e2126,10.7717/peerj.2126,,,0,0,0,0,0,0,0,0
EFFECTS OF PLANT GROWTH REGULATORS ON SEED GERMINATION AND CALLUS INDUCTION OF HYLOCEREUS COSTARICENSIS,"Sheng, Winson Koe Wei; Sundarasekar, Jeevandran; Sathasivam, Kathiresan; Subramaniam, Sreeramanan",,,,PAKISTAN JOURNAL OF BOTANY,JUN 2016,2016,48,3,,,,977,982,,,,,0,0,0,0,0,0,0,0
Differential allelopathy between genders of an invasive dioecious tree on desert plants,"Avendano-Gonzalez, Marcela; Badano, Ernesto I.; Ramirez-Albores, Jorge E.; Flores, Joel; Flores-Cano, Jorge A.",,,,BOTANICAL SCIENCES,APR-JUN 2016,2016,94,2,,,,253,262,,10.17129/botsci.522,,,0,0,0,0,0,0,0,0
Overview of Cactus (Opuntia Ficus-Indica (L): A Myriad of Alternatives,"Isaac, Agholor Azikiwe",,,,STUDIES ON ETHNO-MEDICINE,APR 2016,2016,10,2,,,,195,205,,,,,0,0,0,0,0,0,0,0
ANALYSIS OF PHYSICAL AND CHEMICAL CHARACTERISTICS OF THE PULP OF Opuntia elatior Miller FRUIT,"Jhoany, Gallardo; Yanira, Teran; Yelitza, Mujica; Elimar, Rodriguez; Humberto, Barazarte; Deysi, Petit; Ramon, D'Aubeterre",,,,AGROINDUSTRIA SOCIEDAD Y AMBIENTE ASA,JAN-JUN 2016,2016,1,6,,,,52,67,,,,,0,0,0,0,0,0,0,0
Floral traits and pollination system of Zygophyllum xanthoxylum in the managed and wild populations in an arid region of Northwest China,Chen Min; Zhao Xueyong; Zuo Xiao'an; Lian Jie; Zhu Yangchun,,,,JOURNAL OF ARID LAND,AUG 2015,2015,7,4,,,,488,500,,10.1007/s40333-015-0042-z,,,0,0,0,0,0,0,0,0
ARTIFICIAL POLLINATION AND FRUIT QUALITY IN RED PITAYA,"de Menezes, Thatiane Padilha; Ramos, Jose Darlan; Bruzi, Adriano Teodoro; Costa, Ana Claudia",,,,BIOSCIENCE JOURNAL,MAY-JUN 2015,2015,31,3,,,,801,807,,,,,0,0,0,0,0,0,0,0
EXPERIMENTAL EVIDENCE FOR REPRODUCTIVE ISOLATION BETWEEN ASTROPHYTUM COAHUILENSE (H. MOLLER) KAYSER AND A-CAPRICORNE VAR. SENILE (FRIC) OKUMURA (CACTACEAE),"Montanucci, Richard R.",,,,HASELTONIA,FEB 2015,2015,,20,,,,13,21,,,,,0,0,0,0,0,0,0,0
Tests for evaluating the physiological quality of pitaya seeds,"Ortiz, Thiago Alberto; Moritz, Aline; Assari Takahashi, Lucia Sadayo; Urbano, Mariana Ragassi",,,,SEMINA-CIENCIAS AGRARIAS,2015,2015,36,6,,2,,4047,4058,,10.5433/1679-0359.2015v36n6Supl2p4047,,,0,0,0,0,0,0,0,0
REPRODUCTIVE ABILITY AND POSIBILITIES OF RESTORATION OF THE GENUS PARODIA SPEG. (CACTACEAE JUSS.) IN GREENHOUSES CONDITIONS,"Baglay, Kateryna",,,,MODERN PHYTOMORPHOLOGY,2015,2015,8,,,,,119,122,,,,,0,0,0,0,0,0,0,0
"Opuntia gallegiana, a New Speices Producer of Xoconostle of Zacatecas, Mexico (Cactaceae)","Scheinvar, Leia; Olalde, Gabriel",,,,NOVON,NOV 2014,2014,23,3,,,,328,335,,10.3417/2010067,,,0,0,0,0,0,0,0,0
"Opuntia tezontepecana, a New Species of Cactaceae of the State of Hidalgo, Mexico","Gallegos, Clemente; Scheinvar, Leia",,,,NOVON,JUL 2014,2014,23,2,,,,157,161,,10.3417/2010107,,,0,0,0,0,0,0,0,0
Exceptional reduction of the plastid genome of saguaro cactus (Carnegiea gigantea): Loss of the ndh gene suite and inverted repeat,"Sanderson, Michael J.; Copetti, Dario; Burquez, Alberto; Bustamante, Enriquena; Charboneau, Joseph L. M.; Eguiarte, Luis E.; Kumar, Sudhir; Lee, Hyun Oh; Lee, Junki; McMahon, Michelle; Steele, Kelly; Wing, Rod; Yang, Tae-Jin; Zwickl, Derrick; Wojciechowski, Martin F.",,,,AMERICAN JOURNAL OF BOTANY,JUL 2015,2015,102,7,,,,1115,1127,,10.3732/ajb.1500184,,,27,6.75,0,0,5,12,10,0
Balancing anti-herbivore benefits and anti-pollinator costs of defensive mutualists,"Ohm, Johanna R.; Miller, Tom E. X.",,,,ECOLOGY,OCT 2014,2014,95,10,,,,2924,2935,,10.1890/13-2309.1,,,17,3.4,1,0,4,3,9,0
Life-history traits predict perennial species response to fire in a desert ecosystem,"Shryock, Daniel F.; DeFalco, Lesley A.; Esque, Todd C.",,,,ECOLOGY AND EVOLUTION,AUG 2014,2014,4,15,,,,3046,3059,,10.1002/ece3.1159,,,10,2,0,3,3,3,1,0
"Seed mass, germination and seedling traits for some central Argentinian cacti","Sosa Pivatto, Maria; Funes, Guillermo; Ferreras, Ana E.; Gurvich, Diego E.",,,,SEED SCIENCE RESEARCH,MAR 2014,2014,24,1,,,,71,77,,10.1017/S0960258513000366,,,10,2,1,3,1,4,1,0
Effect of light on seed germination and seedling shape of succulent species from Mexico,"Flores, Joel; Gonzalez-Salvatierra, Claudia; Jurado, Enrique",,,,JOURNAL OF PLANT ECOLOGY,APR 2016,2016,9,2,,,,174,179,,10.1093/jpe/rtv046,,,7,2.33,0,0,1,4,2,0
Are seed mass and seedling size and shape related to altitude? Evidence in Gymnocalycium monvillei (Cactaceae),"Bauk, Karen; Perez-Sanchez, Reyes; Zeballos, Sebastian R.; Penas, M. Laura Las; Flores, Joel; Gurvich, Diego E.",,,,BOTANY,AUG 2015,2015,93,8,,,,529,533,,10.1139/cjb-2015-0026,,,6,1.5,0,0,0,4,2,0
Very fast germination: additional records and relationship to embryo size and phylogeny,"Parsons, Robert F.; Vandelook, Filip; Janssens, Steven B.",,,,SEED SCIENCE RESEARCH,JUN 2014,2014,24,2,,,,159,163,,10.1017/S096025851400004X,,,6,1.2,0,0,4,1,1,0
"Assessing the importance of multiple threats to an endangered globose cactus in Mexico: Cattle grazing, looting and climate change","Martorell, Carlos; Montanana, Delfin M.; Ureta, Carolina; Mandujano, Maria C.",,,,BIOLOGICAL CONSERVATION,JAN 2015,2015,181,,,,,73,81,,10.1016/j.biocon.2014.10.035,,,4,1,0,0,0,3,1,0
"Morphological variation, management and domestication of 'maguey alto' (Agave inaequidens) and 'maguey manso' (A-hookeri) in Michoacan, Mexico","Julia Figueredo, Carmen; Casas, Alejandro; Colunga-GarciaMarin, Patricia; Nassar, Jafet M.; Gonzalez-Rodriguez, Antonio",,,,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,SEP 16 2014,2014,10,,,,,,,66,10.1186/1746-4269-10-66,,,4,0.8,0,2,0,1,1,0
Conserving seeds of useful wild plants in Mexico: main issues and recommendations,"Rodriguez-Arevalo, Isela; Mattana, Efisio; Garcia, Lilia; Liu, Udayangani; Lira, Rafael; Davila, Patricia; Hudson, Alex; Pritchard, Hugh W.; Ulian, Tiziana",,,,GENETIC RESOURCES AND CROP EVOLUTION,AUG 2017,2017,64,6,,,,1141,1190,,10.1007/s10722-016-0427-7,,,3,1.5,0,0,0,0,3,0
Seed characteristics in Cactaceae: Useful diagnostic features for screening species for invasiveness?,"Novoa, A.; Rodriguez, J.; Lopez-Nogueira, A.; Richardson, D. M.; Gonzalez, L.",,,,SOUTH AFRICAN JOURNAL OF BOTANY,JUL 2016,2016,105,,,,,61,65,,10.1016/j.sajb.2016.01.003,,,3,1,0,0,0,2,1,0
"Population dynamics of Mammillaria humboldtii, an endemic cactus from Hidalgo state, Mexico","Martinez-Ramos, Marisol; Arroyo-Cosultchi, Gabriel; Maria Mandujano, C.; Golubov, Jordan",,,,BOTANICAL SCIENCES,APR-JUN 2016,2016,94,2,,,,199,208,,10.17129/botsci.270,,,3,1,0,0,0,1,2,0
The population dynamics of an endemic collectible cactus,"Mandujano, Maria C.; Bravo, Yolotzin; Verhulst, Johannes; Carrillo-Angeles, Israel; Golubov, Jordan",,,,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,FEB 2015,2015,63,,,,,1,7,,10.1016/j.actao.2014.12.004,,,3,0.75,0,0,1,2,0,0
2C DNA Value of Persian Poppy (Papaver bracteatum Lindl.) Medicinal Plant As Revealed By Flow Cytometry Analysis; A Quick Effective Criteria for Distinguishing Unidentified Papaver Species,"Esfahani, Saeed Tarkesh; Karimzadeh, Ghasem; Naghavi, Mohammad Reza",,,,INTERNATIONAL JOURNAL OF ADVANCED BIOTECHNOLOGY AND RESEARCH,JUN 2016,2016,7,2,,,,573,578,,,,,2,0.67,0,0,0,0,2,0
Pulse seedling recruitment on the population dynamics of a columnar cactus: Effect of an extreme rainfall event,"Arroyo-Cosultchi, Gabriel; Golubov, Jordan; Mandujano, Maria C.",,,,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,FEB 2016,2016,71,,,,,52,60,,10.1016/j.actao.2016.01.006,,,2,0.67,0,0,0,1,1,0
Infiltration of a facultative ant-plant mutualism by the introduced Argentine ant: effects on mutualist diversity and mutualism benefits,"Ludka, John; Levan, Katherine E.; Holway, David A.",,,,ECOLOGICAL ENTOMOLOGY,AUG 2015,2015,40,4,,,,437,443,,10.1111/een.12206,,,2,0.5,0,0,1,0,1,0
Effects of seed colour heterogeneity on germination behaviour of the desert plant Lotononis platycarpa (Fabaceae),"Gairola, Sanjay; Shabana, Hatem A.; Mahmoud, Tamer; Santo, Andrea",,,,NORDIC JOURNAL OF BOTANY,MAR 2018,2018,36,3,,,,,,UNSP e01617,10.1111/njb.01617,,,1,1,0,0,0,0,1,0
In situ or ex situ seed conservation: which is the more effective way to maintain seed longevity of an endangered cactus?,"Bispo Nascimento, Joana Paula; Meiado, Marcos Vinicius",,,,PLANT SPECIES BIOLOGY,APR 2017,2017,32,2,,,,115,120,,10.1111/1442-1984.12131,,,1,0.5,0,0,0,0,1,0
Biogeography and ecology of the genus Turbinicarpus (Cactaceae): environmental controls of taxa richness and morphology,"Donati, Davide; Bianchi, Claudia; Pezzi, Giovanna; Conte, Lucia; Hofer, Anton; Chiarucci, Alessandro",,,,SYSTEMATICS AND BIODIVERSITY,2017,2017,15,4,,,,361,371,,10.1080/14772000.2016.1251504,,,1,0.5,0,0,0,0,1,0
Seed dormancy in Stachytarpheta species (Verbenaceae) from high-altitude sites in south-eastern Brazil,"Barreto, Leilane C.; Santos, Fernando M. G.; Garcia, Queila S.",,,,FLORA,NOV 2016,2016,225,,,,,37,44,,10.1016/j.flora.2016.09.009,,,1,0.33,0,0,0,1,0,0
"Nuclear genome size, ploidy level and endopolyploidy pattern in six species of Opuntia (Cactaceae)","Palomino, G.; Martinez, J.; Mendez, I.; Munoz-Urias, A.; Cepeda-Cornejo, V.; Pimienta-Barrios, E.",,,,CARYOLOGIA,2016,2016,69,1,,,,82,89,,10.1080/00087114.2015.1109956,,,1,0.33,0,0,0,0,1,0
EFFECT OF SCARIFICATION AND TEMPERATURE ON SEED GERMINATION OF TWO MEXICAN SPECIES OF MIMOSA (LEGUMINOSAE-MIMOSOIDEAE),"Adriana Montano-Arias, Susana; Lucia Camargo-Ricalde, Sara; Grether, Rosaura; Diaz-Pontones, David",,,,BOTANICAL SCIENCES,SEP 2015,2015,93,3,,,,649,659,,10.17129/botsci.185,,,1,0.25,0,0,0,1,0,0
Zeaxanthin nanoencapsulation with Opuntia monacantha mucilage as structuring material: Characterization and stability evaluation under different temperatures,"de Campo, Camila; Dick, Melina; dos Santos, Priscilla Pereira; Haas Costa, Tania Maria; Paese, Karina; Guterres, Silvia Staniscuaski; Rios, Alessandro de Oliveira; Flores, Simone Hickmann",,,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,DEC 5 2018,2018,558,,,,,410,421,,10.1016/j.colsurfa.2018.09.009,17th Food Colloids Conference on Application of Soft Matter Concepts,"APR 08-11, 2018",0,0,0,0,0,0,0,0
Stimulation of the germination and growth of different plant species using an electric field treatment with IrO2-Ta2O5 vertical bar Ti electrodes,"Acosta-Santoyo, Gustavo; Alheli Herrada, Rosa; De Folter, Stefan; Bustos, Erika",,,,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,MAY 2018,2018,93,5,,,,1488,1494,,10.1002/jctb.5517,,,0,0,0,0,0,0,0,0
EXPLORATION OF VARIOUS INDONESIAN INDIGENOUS PLANTS AS NATURAL COAGULANTS FOR SYNTHETIC TURBID WATER,"Kristianto, Hans; Paulina, Sylvia; Soetedjo, Jenny Novianti Muliarahayu",,,,INTERNATIONAL JOURNAL OF TECHNOLOGY,MAR 2018,2018,9,3,,,,464,471,,10.14716/ijtech.v9i3.279,,,0,0,0,0,0,0,0,0
Studies on convective drying of 'Ameclyae' Opuntia ficus-indica seeds and its effect on the quality of extracted oil based on its alpha-tocopherol content,"Hassini, Lamine; Bettaieb, Emna; Motri, Samia; Desmorieux, Helene",,,,HEAT AND MASS TRANSFER,FEB 2018,2018,54,2,,,,393,402,,10.1007/s00231-017-2129-x,,,0,0,0,0,0,0,0,0
Hydrochory in seeds of Agave victoriae-reginae T. Moore endangered species: Morphology and anatomy as facilitators of hydro-dispersion and germination,"Sanchez-Salas, Jaime; Flores, Joel; Jurado, Enrique; Saenz-Mata, Jorge; Orozco-Figueroa, Pedro; Muro Perez, Gisela",,,,GAYANA BOTANICA,DEC 2017,2017,74,2,,,,251,261,,,,,0,0,0,0,0,0,0,0
"Heteromorphism in seeds of Leptocereus scopulophilus (Cactaceae) from Pan de Matanzas, Cuba","Angel Garcia-Beltran, Jose; Barrios, Duniel; Cuza-Perez, Alina",,,,SEED SCIENCE RESEARCH,DEC 2017,2017,27,4,,,,311,320,,10.1017/S0960258517000289,,,0,0,0,0,0,0,0,0
"Effect of salinity on seed germination, growth and metabolic activity of pitaya seedlings [Stenocereus thurberi (Engelm.) Buxb.]","Orozco, Antonio; Gardea, Alfonso A.; Rascon-Chu, Agustin; Sanchez, Alfonso",,,,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2017,2017,19,,,,,67,78,,,,,0,0,0,0,0,0,0,0
POLLEN LIMITATION IN A RARE CACTUS WITH SYNCHRONOUS MASS FLOWERING,"Martinez-Peralta, C.; Mandujano, M. C.",,,,HASELTONIA,DEC 2016,2016,,22,,,,2,8,,,,,0,0,0,0,0,0,0,0
ALLOMETRIC RELATIONSHIPS BETTER EXPLAIN SEED COAT MICROSCULPTURE TRAITS IN MENTZELIA SECTION BARTONIA (LOASACEAE) THAN ECOLOGY OR DISPERSAL,"Schenk, John J.; Sullivan, Melissa T.; Washburn, George A.; Franta, Roxanne C.; Chambers, Malinda L.",,,,INTERNATIONAL JOURNAL OF PLANT SCIENCES,MAR-APR 2016,2016,177,3,,,,263,276,,10.1086/684263,,,0,0,0,0,0,0,0,0
"Gymnocalycium campestre (Cactaceae, Trichocereeae), a New Species from Cordoba, Argentina","Repka, Radomir; Koutecky, Petr; Vahalik, Petr",,,,NOVON,DEC 2015,2015,24,3,,,,280,288,,10.3417/2015007,,,0,0,0,0,0,0,0,0
Application of Opuntia ficus-indica in bioremediation of wastewaters. A critical review,"Nharingo, Tichaona; Moyo, Mambo",,,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,JAN 15 2016,2016,166,,,,,55,72,,10.1016/j.jenvman.2015.10.005,,,25,8.33,0,0,4,8,13,0
Diversity and genetic structure of the husk tomato (Physalis philadelphica Lam.) in Western Mexico,"Zamora-Tavares, Pilar; Vargas-Ponce, Ofelia; Sanchez-Martinez, Jose; Cabrera-Toledo, Danae",,,,GENETIC RESOURCES AND CROP EVOLUTION,JAN 2015,2015,62,1,,,,141,153,,10.1007/s10722-014-0163-9,,,10,2.5,0,2,3,0,5,0
"Agroforestry systems in the highlands of the Tehuacan Valley, Mexico: indigenous cultures and biodiversity conservation","Vallejo, Mariana; Casas, Alejandro; Blancas, Jose; Moreno-Calles, Ana I.; Solis, Leonor; Rangel-Landa, Selene; Davila, Patricia; Tellez, Oswaldo",,,,AGROFORESTRY SYSTEMS,FEB 2014,2014,88,1,,,,125,140,,10.1007/s10457-013-9660-7,,,7,1.4,0,1,3,3,0,0
Protein enrichment of an Opuntia ficus-indica cladode hydrolysate by cultivation of Candida utilis and Kluyveromyces marxianus,"Akanni, Gabriel B.; du Preez, James C.; Steyn, Laurinda; Kilian, Stephanus G.",,,,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,MAR 30 2015,2015,95,5,,,,1094,1102,,10.1002/jsfa.6985,,,6,1.5,0,0,1,1,4,0
"Pre-plant soil fumigation with reduced rates under low permeability films for nursery production, orchard and vineyard replanting","Cabrera, J. Alfonso; Hanson, Bradley D.; Gerik, James S.; Gao, Suduan; Qin, Ruijun; Wang, Dong",,,,CROP PROTECTION,SEP 2015,2015,75,,,,,34,39,,10.1016/j.cropro.2015.05.003,,,4,1,0,0,0,1,3,0
EFFECT OF COMBINATIONS OF NITROGEN AND POTASSIUM ON THE GROWTH OF DRAGON FRUIT (Hylocereus undatus),"Bernardo Almeida, Edmilson Igor; de Medeiros Correa, Marcio Cleber; Crisostomo, Lindbergue Araujo; de Araujo, Neimar Arcanjo; do Vale Silva, Julio Cesar",,,,REVISTA BRASILEIRA DE FRUTICULTURA,DEC 2014,2014,36,4,,,,1018,1027,,10.1590/0100-2945-296/13,,,3,0.6,0,0,1,0,2,0
Bioactive compounds and antioxidant activity evolution during the ripening process of 12 Opuntia spp. fruit accessions,"Manuel Pinedo-Espinoza, Jose; Leobardo Aguirre-Mancilla, Cesar; Jimenez-Alvarado, Ruben; Carlos Raya-Perez, Juan; Iturriaga, Gabriel; Gabriel Ramirez-Pimentel, Juan; Delia Hernandez-Fuentes, Alma",,,,EMIRATES JOURNAL OF FOOD AND AGRICULTURE,2017,2017,29,2,,,,138,148,,10.9755/ejfa.2016-09-1324,,,1,0.5,0,0,0,0,1,0
Feather isotope analysis reveals differential patterns of habitat and resource use in populations of white-winged doves,"Carleton, Scott A.; Del Rio, Carlos Martinez; Robinson, Timothy J.",,,,JOURNAL OF WILDLIFE MANAGEMENT,AUG 2015,2015,79,6,,,,948,956,,10.1002/jwmg.916,,,1,0.25,0,0,1,0,0,0
"The structural characteristics, economic performance and prospects for the Italian cactus pear industry","Timpanaro, Giuseppe; Foti, Vera Teresa",,,,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2014,2014,16,,,,,32,50,,,,,1,0.2,0,0,1,0,0,0
Life cycle assessment of oil palm empty fruit bunch delignification using natural malic acid-based low-transition-temperature mixtures: a gate-to-gate case study,"Yiin, Chung Loong; Yusup, Suzana; Quitain, Armando T.; Uemura, Yoshimitsu; Sasaki, Mitsuru; Kida, Tetsuya",,,,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,OCT 2018,2018,20,8,,,,1917,1928,,10.1007/s10098-018-1590-7,,,0,0,0,0,0,0,0,0
BIOCONVERSION OF VEGETABLE WASTE TO BIOGAS FROM RUMINAL MICROORGANISMS,"German Campos-Montiel, Rafael; Enrique Del Razo-Rodriguez, Oscar; Almaraz-Buendia, Isaac; Ramirez-Bribiesca, Efren; Soriano-Robles, Ramon; Armando Salinas-Martinez, Jesus; Arias-Margarito, Ladislao; Segundo Gonzalez-Munoz, Sergio",,,,REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,2018,2018,34,1,,,,149,155,,10.20937/RICA.2018.34.01.13,,,0,0,0,0,0,0,0,0
Growth and gas exchange in white pitaya under different concentrations of potassium and calcium,"Cajazeira, Joao Paulo; de Medeiros Correa, Marcio Cleber; Bernardo Almeida, Edmilson Igor; Queiroz, Ronialison Fernandes; Mesquita, Rosilene Oliveira",,,,REVISTA CIENCIA AGRONOMICA,JAN-MAR 2018,2018,49,1,,,,112,121,,10.5935/1806-6690.20180013,,,0,0,0,0,0,0,0,0
"Cactus Pear in Jordan - Current Status, Potential and Opportunities","Nasr, Y.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,299,303,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",0,0,0,0,0,0,0,0
R&D of Pitahayas - Dragonfruit - Vine Cacti: Limitations and Challenges and the Current Global Market,"Tel-Zur, N.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,365,370,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",0,0,0,0,0,0,0,0
"Costs, Revenues and Incomes of Sicilian Farms that Cultivate Cactus Pear","Tudisca, S.; Di Trapani, A. M.; Sgroi, F.; Testa, R.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,371,377,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",0,0,0,0,0,0,0,0
